Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_018677595.1	ASM1867759v1	Gammaproteobacteria bacterium					IDS-31		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3463067	Contig	2021-06-02	JAHHOV01	10713								Illumina NextSeq	Monash University	PRJNA623061	SAMN19247010	3335	3277	23				
GCA_005792105.1	ASM579210v1	Gammaproteobacteria bacterium					F1-140-MAGs098			4859496	Contig	2019-05-24	SXSW01	10706								Illumina	Nanjing Institute of Geography & Limnology, Chinese Academy of Sciences	PRJNA531348	SAMN11368919							
GCA_963855185.1	CB9_20m.37	Gammaproteobacteria bacterium					CB9_20m.37			1906967	Contig	2023-12-15	CAWLBV01	10698								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114238330							
GCA_026196145.1	ASM2619614v1	Gammaproteobacteria bacterium					N2M-Bin_5		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2805719	Contig	2022-11-15	JAPHTU01	10682								Illumina NextSeq	Northeastern University	PRJNA896156	SAMN31562331	2954	2913	11				
GCA_036447815.1	ASM3644781v1	Gammaproteobacteria bacterium					BS3bin.24		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1857117	Contig	2024-02-07	JAZFVQ01	10680								Illumina	Tsinghua University	PRJNA1051299	SAMN38797276	1963	1905	24				
GCA_018697995.1	ASM1869799v1	Gammaproteobacteria bacterium					SI060_bin47		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2061642	Contig	2021-06-02	JABINO01	10679								Illumina HiSeq 2000	The University of Melbourne	PRJNA630981	SAMN14915018	2143	2054	67				
GCA_004213855.1	ASM421385v1	Gammaproteobacteria bacterium					MED-G148		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	732908	Contig	2019-02-19	SGZS01	10656								Illumina HiSeq	Universidad Miguel Hernandez	PRJNA352798	SAMN10841252	776	764	5				
GCA_030577275.1	ASM3057727v1	Gammaproteobacteria bacterium					MAG-37		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	581555	Contig	2023-07-31	JALIAF01	10631								Illumina HiSeq	University Duisburg-Essen	PRJNA811790	SAMN26866881	687	673	4				
GCA_028817255.1	ASM2881725v1	Gammaproteobacteria bacterium					STY3_bin_2		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1790111	Scaffold	2023-02-23	JAPPQA01	10620	11376							Illumina	Australian Centre for Ecogenomics	PRJNA602572	SAMN15855651	1662	1594	22				
GCA_038924195.1	ASM3892419v1	Gammaproteobacteria bacterium					SLM_LV1_0208-A06			396458	Contig	2024-04-30	JBCKVC01	10616								Illumina HiSeq	Korea Polar Research Institute, Republic of Korea	PRJNA1084198	SAMN40275253							
GCA_029864605.1	ASM2986460v1	Gammaproteobacteria bacterium					13_Jan_SF_Bin58		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2409072	Contig	2023-04-24	JAOTTC01	10595								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442634	2359	2325	21				
GCA_005791405.1	ASM579140v1	Gammaproteobacteria bacterium					F1-20-MAGs035			582701	Contig	2019-05-24	SXWR01	10591								Illumina	Nanjing Institute of Geography & Limnology, Chinese Academy of Sciences	PRJNA531348	SAMN11369033							
GCA_018827265.1	ASM1882726v1	Gammaproteobacteria bacterium					UMS_A.mb.20		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4655416	Contig	2021-06-09	JAHJXY01	10585								Illumina	Department of Ecology and Genetics, Limnology and Science for Life Laboratory, Uppsala University	PRJNA627556	SAMN19298707	4550	4471	34				
GCA_015660325.1	ASM1566032v1	Gammaproteobacteria bacterium					SZUA-1025		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1487144	Contig	2020-11-23	DQLF01	10583								Illumina HiSeq 2000	The University of Hong Kong	PRJNA488180	SAMN09926264	1490	1438	15				
GCA_963579375.1	CB4_20m.11	Gammaproteobacteria bacterium					CB4_20m.11			1550651	Contig	2023-11-05	CAUZGV01	10577								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114238124							
GCA_028121615.1	ASM2812161v1	Gammaproteobacteria bacterium					AH-229-C18		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	470604	Contig	2023-01-27	JAOHQY01	10570								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29364686	490	479	5				
GCA_028820555.1	ASM2882055v1	Gammaproteobacteria bacterium					RHO2_bin_29		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4327042	Scaffold	2023-02-23	JAPPIS01	10560	14471							Illumina	Australian Centre for Ecogenomics	PRJNA602572	SAMN15855455	4133	4030	60				
GCA_032124405.1	ASM3212440v1	Gammaproteobacteria bacterium					MAG_411_bin-14			3392665	Contig	2023-09-27	JAQBDN01	10542								Illumina NovaSeq	Stockholm University	PRJNA891615	SAMN31710491							
GCA_004356715.1	ASM435671v1	Gammaproteobacteria bacterium					N074bin52		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1480773	Contig	2019-03-19	SMWG01	10525								Illumina HiSeq	Scripps Institution of Oceanography	PRJNA526329	SAMN11097047	1483	1454	4				
GCA_018609925.1	ASM1860992v1	Gammaproteobacteria bacterium					BinSanityLC-kmean-bin_55-bin_0-refined_6			1884566	Contig	2021-06-01	JAHEOG01	10518								Illumina HiSeq	University of Utah	PRJNA522308	SAMN19270140							
GCA_020029375.1	ASM2002937v1	Gammaproteobacteria bacterium					CR_Sed_300A_bin.87			2764461	Contig	2021-09-17	JAIBJC01	10516								Illumina HiSeq	Colorado State University	PRJNA576070	SAMN18867721							
GCA_020029395.1	ASM2002939v1	Gammaproteobacteria bacterium					CR_Sed_300A_bin.88			2749759	Contig	2021-09-17	JAIBJD01	10516								Illumina HiSeq	Colorado State University	PRJNA576070	SAMN18867722							
GCA_015663395.1	ASM1566339v1	Gammaproteobacteria bacterium					SZUA-1346		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2899921	Contig	2020-11-23	DQSG01	10514								Illumina HiSeq 2000	The University of Hong Kong	PRJNA488180	SAMN09926447	2898	2816	41				
GCA_963580085.1	CB11b_Tmax.25	Gammaproteobacteria bacterium					CB11b_Tmax.25			1045093	Contig	2023-11-04	CAUZIF01	10510								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114237862							
GCA_016764495.1	ASM1676449v1	Gammaproteobacteria bacterium					NORP265		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2707151	Contig	2021-01-27	JAESRS01	10508								Illumina HiSeq	University of Southern California	PRJNA391950	SAMN17309519	2657	2595	22				
GCA_029863325.1	ASM2986332v1	Gammaproteobacteria bacterium					13_May_SF_Bin52		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3186387	Contig	2023-04-24	JAOTVQ01	10494								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442700	3180	3113	32				
GCA_014239385.1	ASM1423938v1	Gammaproteobacteria bacterium					bin7o			1374664	Contig	2020-08-18	JAAZYY01	10478								Illumina HiSeq	SponGES	PRJNA613976	SAMN14533080							
GCA_025358615.1	ASM2535861v1	Gammaproteobacteria bacterium					GL140_3_metabinner_193			3777830	Contig	2022-09-21	JANYIY01	10474								Illumina NovaSeq	EPFL	PRJNA781406	SAMN30205972							
GCA_018697925.1	ASM1869792v1	Gammaproteobacteria bacterium					SI060_bin49		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1307109	Contig	2021-06-02	JABINQ01	10469								Illumina HiSeq 2000	The University of Melbourne	PRJNA630981	SAMN14915020	1443	1409	7				
GCA_029879945.1	ASM2987994v1	Gammaproteobacteria bacterium					8_1_Oct_SF_Bin47		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3655682	Contig	2023-04-26	JAOUPJ01	10459								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30443213	3590	3523	24				
GCA_963694895.1	CB9_Surface.1	Gammaproteobacteria bacterium					CB9_Surface.1			2112726	Contig	2023-12-10	CAVOFF01	10421								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114238473							
GCA_024222685.1	ASM2422268v1	Gammaproteobacteria bacterium					Cca_20		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4382368	Contig	2022-07-12	JAAEOZ01	10414								Illumina HiSeq	Kiel University	PRJNA503328	SAMN13632641	4617	4530	55				
GCA_007130745.1	ASM713074v1	Gammaproteobacteria bacterium					CSSed165cm_587			1305877	Contig	2019-07-18	SLRW01	10412								Illumina HiSeq	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	PRJNA453733	SAMN10610649							
GCA_015658225.1	ASM1565822v1	Gammaproteobacteria bacterium					SZUA-1182		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1346707	Contig	2020-11-23	DQPF01	10412								Illumina HiSeq 2500	The University of Hong Kong	PRJNA488180	SAMN09926368	1410	1367	9				
GCA_038111565.1	139542_COM.scaffolds.fasta	Gammaproteobacteria bacterium					139542_COM_metabat_bins_2.tsv.019_sub		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4046613	Scaffold	2024-04-15	JAYNLF01	10411	14964							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37860260	4228	4155	40				
GCA_011052155.1	ASM1105215v1	Gammaproteobacteria bacterium					HyVt-417		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2242336	Contig	2020-03-02	DRJM01	10409								Illumina HiSeq 2000	The University of Hong Kong	PRJNA480137	SAMN09638614	2245	2174	34				
GCA_030637945.1	ASM3063794v1	Gammaproteobacteria bacterium					CSMAG_1966			1837097	Contig	2023-08-03	DAOWFN01	10408								Illumina HiSeq	Third Institute of Oceanography, Ministry of Natural Resources	PRJNA950938	SAMN34049979							
GCA_029335925.2	ASM2933592v2	Gammaproteobacteria bacterium					MAG_9		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1644354	Contig	2023-06-28	JARJMX02	10400								Illumina NovaSeq	Bose Institute	PRJNA296849	SAMN33731873	1796	1695	63				
GCA_030828335.1	ASM3082833v1	Gammaproteobacteria bacterium					SFB_34D_100_13			2247565	Scaffold	2023-08-18	JAURCQ01	10383	10999							Illumina HiSeq	Stanford University	PRJNA819083	SAMN35717193							
GCA_009919975.1	ASM991997v1	Gammaproteobacteria bacterium					WB6_4_033		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2524862	Contig	2020-01-23	RGAU01	10380								Illumina	Georgia Institute of Technology	PRJNA495371	SAMN10223101	2688	2528	128				
GCA_005798535.1	ASM579853v1	Gammaproteobacteria bacterium					F1-60-MAGs169			1716363	Contig	2019-05-24	SYIZ01	10347								Illumina	Nanjing Institute of Geography & Limnology, Chinese Academy of Sciences	PRJNA531348	SAMN11369379							
GCA_030038875.1	ASM3003887v1	Gammaproteobacteria bacterium					JOPF085			3430869	Contig	2023-05-19	JASHQW01	10342								Illumina HiSeq	National University of Singapore	PRJNA883528	SAMN35020177							
GCA_009844755.1	ASM984475v1	Gammaproteobacteria bacterium					SB0672_bin_5		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2492743	Scaffold	2020-01-09	VYAX01	10337	12228							Illumina NextSeq	University of Queensland	PRJNA555144	SAMN12598590	2361	2251	71				
GCA_947473625.1	RH-20apr16-232	Gammaproteobacteria bacterium					RH-20apr16-232			3677824	Scaffold	2022-12-04	CANJGI01	10332	10332							Illumina HiSeq 4000	BIOLOGY CENTRE ASCR, V.V.I., INSTITUTE OF HYDROBIO	PRJEB35770	SAMEA112175065							
GCA_038923965.1	ASM3892396v1	Gammaproteobacteria bacterium					SLM_LV1_30a-P04			470625	Contig	2024-04-30	JBCKVH01	10305								Illumina HiSeq	Korea Polar Research Institute, Republic of Korea	PRJNA1084198	SAMN40275258							
GCA_029880105.1	ASM2988010v1	Gammaproteobacteria bacterium					8_1_Oct_SF_Bin34		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2208432	Contig	2023-04-26	JAOUPA01	10289								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30443204	2339	2269	22				
GCA_018828535.1	ASM1882853v1	Gammaproteobacteria bacterium					OSS_A.mb.10		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4162195	Contig	2021-06-09	JAHJVK01	10285								Illumina	Department of Ecology and Genetics, Limnology and Science for Life Laboratory, Uppsala University	PRJNA627556	SAMN19298641	3884	3811	28				
GCA_030638455.1	ASM3063845v1	Gammaproteobacteria bacterium					CSMAG_1942			1873822	Contig	2023-08-03	DAOWEP01	10281								Illumina HiSeq	Third Institute of Oceanography, Ministry of Natural Resources	PRJNA950938	SAMN34049955							
GCA_018676275.1	ASM1867627v1	Gammaproteobacteria bacterium					SI037_bin171		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3598946	Contig	2021-06-02	JABHFC01	10274								Illumina HiSeq 2000	The University of Melbourne	PRJNA630981	SAMN14914094	3619	3564	23				
GCA_009838585.1	ASM983858v1	Gammaproteobacteria bacterium					SB0664_bin_26		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4824824	Scaffold	2020-01-09	VXRF01	10273	12021							Illumina NextSeq	University of Queensland	PRJNA555144	SAMN12598338	4301	4150	110				
GCA_963578205.1	CB21_Surface.22	Gammaproteobacteria bacterium					CB21_Surface.22			2023647	Contig	2023-11-05	CAUZCO01	10269								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114237991							
GCA_038124865.1	139581_S182.scaffolds.fasta	Gammaproteobacteria bacterium					139581_S182_maxbin_bins.tsv.034			2498391	Scaffold	2024-04-15	JAYPCT01	10264	14705							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37861572							
GCA_038140875.1	SD4487_S28.scaffolds.fasta	Gammaproteobacteria bacterium					SD4487_S28.metabat_2.025			966162	Scaffold	2024-04-15	JAYQHC01	10235	15809							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862408							
GCA_036502565.1	ASM3650256v1	Gammaproteobacteria bacterium					SMAG_U4821		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2531035	Contig	2024-02-09	DASXYJ01	10234								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37958100	2673	2631	9				
GCA_027046575.1	ASM2704657v1	Gammaproteobacteria bacterium					S141_metabat2_scaf2bin.019			2403813	Scaffold	2022-12-19	JALTXZ01	10225	10467							Illumina HiSeq	Portland State University	PRJNA821212	SAMN27359044							
GCA_004356895.1	ASM435689v1	Gammaproteobacteria bacterium					CR05bin32		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3072997	Contig	2019-03-19	SMWK01	10223								Illumina HiSeq	Scripps Institution of Oceanography	PRJNA526329	SAMN11097051	2999	2933	36				
GCA_038151315.1	139564_S165.scaffolds.fasta	Gammaproteobacteria bacterium					139564_S165_metabat_bins_sens.tsv.160			1206340	Scaffold	2024-04-15	JAYOVF01	10223	13538							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37860968							
GCA_027295405.1	ASM2729540v1	Gammaproteobacteria bacterium					KW1-S15_72		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4194820	Contig	2022-12-26	JAPUKZ01	10200								Illumina NovaSeq 6000	Huazhong Agricultural University	PRJNA808646	SAMN30435883	4293	4130	128				
GCA_947444315.1	CH-Oct18-90	Gammaproteobacteria bacterium					CH-Oct18-90			1974270	Contig	2022-12-02	CANFAC01	10169								Illumina NovaSeq 6000	BIOLOGY CENTRE ASCR, V.V.I., INSTITUTE OF HYDROBIO	PRJEB35770	SAMEA112172373							
GCA_026997475.1	ASM2699747v1	Gammaproteobacteria bacterium					S140_metabat2_scaf2bin.061			2436438	Scaffold	2022-12-19	JALTSJ01	10163	10163							Illumina HiSeq	Portland State University	PRJNA821212	SAMN27358918							
GCA_015492455.1	ASM1549245v1	Gammaproteobacteria bacterium					S146_65			2149493	Contig	2020-11-16	WGFA01	10149								Illumina HiSeq	Portland State University	PRJNA546572	SAMN12876780							
GCA_036478835.1	ASM3647883v1	Gammaproteobacteria bacterium					SCS4bin.26		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1965068	Contig	2024-02-08	JAZGER01	10149								Illumina	Tsinghua University	PRJNA1051299	SAMN38797563	2017	1972	10				
GCA_019634265.1	ASM1963426v1	Gammaproteobacteria bacterium					MAG.036		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3778593	Contig	2021-08-16	JAHQVO01	10146								Illumina HiSeq	University of Alicante	PRJNA662017	SAMN16073192	3474	3438	16				
GCA_037380665.1	ASM3738066v1	Gammaproteobacteria bacterium					Spart_229_MAG		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3782001	Scaffold	2024-03-19	JARRRN01	10144	11405							Illumina NovaSeq	Georgia Tech	PRJNA703972	SAMN33973662	3349	3165	149				
GCA_028067275.1	ASM2806727v1	Gammaproteobacteria bacterium					IB1_deep_metabat_bins_sspec.tsv.002		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1757080	Scaffold	2023-01-26	JALCAR01	10134	15009							Illumina NovaSeq	University of Queensland	PRJNA807825	SAMN26001850	1574	1525	15				
GCA_019653575.1	ASM1965357v1	Gammaproteobacteria bacterium					CM1_200m.P9		Annotation submitted by Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	857517	Contig	2021-05-08	BPCD01	10129								PacBio Sequel; Illumina Miseq	Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	PRJDB11069	SAMD00291009	1249	1244					
GCA_015661095.1	ASM1566109v1	Gammaproteobacteria bacterium					B4_bin.12		Annotation submitted by Colorado State University	2496707	Scaffold	2020-11-23	JACVQI01	10121	10204							Illumina HiSeq	Colorado State University	PRJNA579838	SAMN15194776	2604	2604					
GCA_032123295.1	ASM3212329v1	Gammaproteobacteria bacterium					MAG_441_bin-05			3513196	Contig	2023-09-27	JAQBFO01	10121								Illumina NovaSeq	Stockholm University	PRJNA891615	SAMN31710544							
GCA_963694025.1	CBN3_Surface.39	Gammaproteobacteria bacterium					CBN3_Surface.39			1859074	Contig	2023-12-09	CAVOBS01	10109								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114238514							
GCA_027295305.1	ASM2729530v1	Gammaproteobacteria bacterium					KW1-S15_96		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4124386	Contig	2022-12-26	JAPULC01	10099								Illumina NovaSeq 6000	Huazhong Agricultural University	PRJNA808646	SAMN30435891	4121	4038	50				
GCA_030040575.1	ASM3004057v1	Gammaproteobacteria bacterium					JOPF151			3142338	Contig	2023-05-19	JASHTK01	10097								Illumina HiSeq	National University of Singapore	PRJNA883528	SAMN35020243							
GCA_029880585.1	ASM2988058v1	Gammaproteobacteria bacterium					8_1_Oct_SF_Bin101		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2931353	Contig	2023-04-26	JAOUOC01	10081								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30443180	2893	2838	17				
GCA_018677305.1	ASM1867730v1	Gammaproteobacteria bacterium					HDS-25		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2316639	Contig	2021-06-02	JAHHNT01	10074								Illumina NextSeq	Monash University	PRJNA623061	SAMN19246982	2369	2320	13				
GCA_031403675.1	ASM3140367v1	Gammaproteobacteria bacterium					SOY_30_metabat_91			2743644	Contig	2023-09-12	JANNTO01	10063								Illumina NovaSeq	EPFL	PRJNA808857	SAMN29839210							
GCA_023136715.1	ASM2313671v1	Gammaproteobacteria bacterium					RS_8_68		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1997416	Contig	2022-04-26	JAGLQT01	10061								Illumina HiSeq	Institute of Oceanology, Chinese Academy of Sciences	PRJNA707313	SAMN18452142	2090	2063	8				
GCA_003645315.1	ASM364531v1	Gammaproteobacteria bacterium					B2_G13		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8279480	Contig	2018-10-15	QNET01	10059								Illumina HiSeq	The University of Texas at Austin	PRJNA362212	SAMN09214851	6785	6541	199				
GCA_018667165.1	ASM1866716v1	Gammaproteobacteria bacterium					SI072_bin74		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2717051	Contig	2021-06-02	JABIVP01	10057								Illumina HiSeq 2000	The University of Melbourne	PRJNA630981	SAMN14915227	2704	2642	36				
GCA_003233255.1	ASM323325v1	Gammaproteobacteria bacterium					SZUA-24			2603145	Contig	2018-06-15	QILH01	10053								Illumina HiSeq	Environmental Microbiology Lab	PRJNA385762	SAMN09240008							
GCA_030427465.1	ASM3042746v1	Gammaproteobacteria bacterium					6_bin.2			3957805	Contig	2023-07-11	JAUIAZ01	10051								Illumina HiSeq	Inha University	PRJNA967453	SAMN36083692							
GCA_003560635.1	ASM356063v1	Gammaproteobacteria bacterium					CSSed10_2			2949498	Contig	2018-09-13	PWKR01	10045								Illumina HiSeq	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	PRJNA434545	SAMN08574482							
GCA_029860965.1	ASM2986096v1	Gammaproteobacteria bacterium					21_May_SF_Bin39		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3253502	Contig	2023-04-24	JAOUAJ01	10040								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442823	3331	3281	12				
GCA_018672695.1	ASM1867269v1	Gammaproteobacteria bacterium					SI037_bin178		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1266352	Contig	2021-06-02	JABHFJ01	10039								Illumina HiSeq 2000	The University of Melbourne	PRJNA630981	SAMN14914101	1386	1357	6				
